id,name,location,type,rating,year,img,link,lat,lng
2561,Le Pavillon,New York,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ce227f8b9d6945acb717749a4246d0d9"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/le-pavillon-1192744,40.752517,-73.978369
2562,Gabriel Kreuther,New York,Contemporary,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/8df654bf2ffd40e0a07ff5d08db9f60f"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/gabriel-kreuther,40.75397,-73.982025
2563,Jean-Georges,New York,Contemporary,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4be7865e80be4816962eeda14b89e40f"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/jean-georges,40.76907,-73.98155
2564,Atera,New York,Contemporary,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e2b078452ba64437b7fda7007114e207"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/atera,40.71685,-74.005591
2565,Kochi,New York,Korean,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/77e772bbe43e4b99ae60ed9d53c3f898"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/kochi,40.762008,-73.993568
2566,Eleven Madison Park,New York,Vegan,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9fc13922bf68472f83eda38e1adcc92e"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/eleven-madison-park,40.741554,-73.987241
2567,Essential by Christophe,New York,French Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/325a0e7fd59c4ced97ac2394ce836675"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/essential-by-christophe,40.780833,-73.976657
2568,Caviar Russe,New York,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f7524712f99f4c308bff7751295ba24f"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/caviar-russe,40.760685,-73.97355
2569,Clover Hill,New York,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b0fae66994ba4908a164e253ef7cd43a"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/clover-hill,40.693381,-73.998577
2570,Noda,New York,Japanese,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5dd3ee225ed1467f98fda631a2dcbb7a"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/noda,40.740454,-73.99308
2571,Aska,New York,Scandinavian,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/af6682fc801c4c89866f1d5a57e0a98f"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/aska,40.712507,-73.966977
2572,Sushi Nakazawa,New York,Japanese,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/415bba3551414e04b6793383d28c0b6c"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/sushi-nakazawa,40.731716,-74.00451
2573,Tempura Matsui,New York,Japanese,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/52e17f3db2a346b2abe143a76edb8cf5"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/tempura-matsui,40.748191,-73.974663
2574,Jeju Noodle Bar,New York,Korean,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/57a517b704e04ca2899663c7c9f63f0b"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/jeju-noodle-bar,40.732952,-74.00744
2575,Le Coucou,New York,French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6774a6b36adf46528a0049c7c7233cb3"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/le-coucou,40.719162,-74.00001
2576,Aquavit,New York,Scandinavian,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/71e609422c464d02b0fb30674c75e002"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/aquavit,40.76078,-73.97214
2577,Estela,New York,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/639b7ce6520a4b498044c245e24f72c5"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/estela,40.72471,-73.9948
2578,Francie,New York,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4f16d881c5814beda8e57b83d4f9debc"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/francie,40.710346,-73.963759
2579,Masa,New York,Japanese,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3d33cf16cfe14adb801dd13fe455c00a"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/masa,40.76819,-73.98234
2580,Cote,New York,Korean,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c203bb604dcd4873b49014d4c04a03ab"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/cote,40.741423,-73.991463
2581,Shion 69 Leonard Street,New York,Japanese,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/423a282d1a804e63bbe3e523f90ed1f5"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/shoji-at-69-leonard,40.71757,-74.00549
2582,L’Abeille,New York,French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e5c39b4957744b2ab6db8c23c1b3f0f1"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/l%E2%80%99abeille,40.721939,-74.009951
2583,Oxomoco,New York,Mexican,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a9f2c09bf56247c6928e288c7e428f2f"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/oxomoco,40.730022,-73.955504
2584,Jungsik,New York,Korean,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/89391803dd9b45deab42719eb70b9f2b"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/jungsik,40.718685,-74.00911
2585,Restaurant Yuu,New York,French Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/19369be3c95d4d73a7900664ff9b41eb"" width=""362"" height=""203",https://guide.michelin.com//en/new-york-state/new-york/restaurant/restaurant-yuu,40.723363,-73.952163
2586,Indienne,Chicago,Indian,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3897c0fddcf64f5a9a31768e489e0c47"" width=""362"" height=""203",https://guide.michelin.com//en/illinois/chicago/restaurant/indienne,41.89465,-87.634932
2587,Porto,Chicago,Portuguese,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/cd983651b04a4f1cb3123b1461428fe2"" width=""362"" height=""203",https://guide.michelin.com//en/illinois/chicago/restaurant/porto,41.896121,-87.667449
2588,Smyth,Chicago,Contemporary,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3680902f6f244086a02b0b88ac00dda3"" width=""362"" height=""203",https://guide.michelin.com//en/illinois/chicago/restaurant/smyth,41.885049,-87.660632
2589,Topolobampo,Chicago,Mexican,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b35ab7db276f41a1a3718cd48d0b0827"" width=""362"" height=""203",https://guide.michelin.com//en/illinois/chicago/restaurant/topolobampo,41.890704,-87.630969
